_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
2909,"800 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,8,5,Northview Heights,1,26,42003260900,1,1,1-13,40.4757519574098,-79.9994763962932
2910,"2700 BLOCK BROWNSVILLE RD PITTSBURGH, PA",1,0,1,0,0,0,2019,8,5,Carrick,4,29,42003290400,3,3,4-23,40.3843384056868,-79.9780810989249
2911,"700 BLOCK E WARRINGTON AVE PITTSBURGH, PA 15210",1,0,0,1,0,0,2019,8,5,Allentown,3,18,42003180300,5,3,4-21,40.4215189803883,-79.9954887053187
2912,"200 BLOCK TROWBRIDGE ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2019,8,5,Hazelwood,5,15,42003562300,3,4,2-13,40.4055651511716,-79.9416900915943
2913,"6200 BLOCK ST MARIE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,8,5,East Liberty,9,11,42003111300,2,5,3-8,40.4679239581576,-79.918093677479
2914,"1300 BLOCK CHARTIERS AVE PITTSBURGH, PA 15220",1,0,1,0,0,0,2019,8,6,Elliott,2,20,42003562600,5,6,1-17,40.4475961960429,-80.0437649994646
2915,"UPLAND ST & BRUSHTON AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,8,6,Homewood North,9,13,42003130100,2,5,3-17,40.4605405467711,-79.8885130272097
2916,"1400 BLOCK EVERS DR PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,8,6,,,,,,5,,,
2917,"2000 BLOCK LEY ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,8,6,Troy Hill,1,24,42003240600,1,1,1-2,40.4678504182846,-79.9803406505277
2918,"100 BLOCK PUTNAM ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,8,6,,,,,,5,,,
2919,"5100 BLOCK BUTLER ST PITTSBURGH, PA 15201",1,0,1,0,0,0,2019,8,6,Upper Lawrenceville,7,10,42003101100,2,2,3-5,40.4783732710048,-79.9554368193965
2920,"100 BLOCK OVERBROOK BLVD PITTSBURGH, PA 15210",2,0,2,0,0,0,2019,8,6,Carrick,4,29,42003290400,3,3,4-23,40.3888675224929,-79.9862223231758
